HOSTNAME, OBSERVATION, CLOCK, TIME, LATITUDE, LONGITUDE, HORIZONTAL, MSL, WGS84, VERTICAL, SPEED, COURSE
"vagabund", 1, 1589816405.686758817, 1589820445.000000000, 39.821670367, -105.095168418, 0.4420, 1724.8296, 1703.3047, 0.6816, 0.001000, 0.000000000
"vagabund", 2, 1589816406.682052723, 1589820446.000000000, 39.821670358, -105.095168382, 0.4423, 1724.8302, 1703.3053, 0.6824, 0.007000, 0.000000000
"vagabund", 3, 1589816407.684631681, 1589820447.000000000, 39.821670350, -105.095168358, 0.4426, 1724.8301, 1703.3052, 0.6830, 0.002000, 0.000000000
"vagabund", 4, 1589816408.682936472, 1589820447.000000000, 39.821670338, -105.095168361, 0.4430, 1724.8309, 1703.3060, 0.6835, 0.002000, 0.000000000
"vagabund", 5, 1589816409.685422514, 1589820448.000000000, 39.821670311, -105.095168369, 0.4433, 1724.8366, 1703.3117, 0.6839, 0.003000, 0.000000000
"vagabund", 6, 1589816410.681894596, 1589820450.000000000, 39.821670292, -105.095168400, 0.4437, 1724.8437, 1703.3188, 0.6845, 0.007000, 0.000000000
"vagabund", 7, 1589816411.680698450, 1589820451.000000000, 39.821670279, -105.095168426, 0.4441, 1724.8494, 1703.3245, 0.6850, 0.002000, 0.000000000
"vagabund", 8, 1589816412.682917877, 1589820451.000000000, 39.821670266, -105.095168451, 0.4445, 1724.8542, 1703.3293, 0.6854, 0.002000, 0.000000000
"vagabund", 9, 1589816413.682970481, 1589820452.000000000, 39.821670243, -105.095168479, 0.4449, 1724.8640, 1703.3391, 0.6858, 0.003000, 0.000000000
"vagabund", 10, 1589816414.682964960, 1589820454.000000000, 39.821670232, -105.095168504, 0.4452, 1724.8725, 1703.3476, 0.6861, 0.005000, 0.000000000
"vagabund", 11, 1589816415.684644126, 1589820455.000000000, 39.821670214, -105.095168527, 0.4456, 1724.8784, 1703.3535, 0.6865, 0.003000, 0.000000000
"vagabund", 12, 1589816416.685086625, 1589820456.000000000, 39.821670182, -105.095168568, 0.4460, 1724.8920, 1703.3671, 0.6868, 0.002000, 0.000000000
"vagabund", 13, 1589816417.686677250, 1589820457.000000000, 39.821670159, -105.095168632, 0.4463, 1724.9018, 1703.3769, 0.6870, 0.001000, 0.000000000
"vagabund", 14, 1589816418.682546625, 1589820457.000000000, 39.821670149, -105.095168705, 0.4465, 1724.9125, 1703.3876, 0.6872, 0.001000, 0.000000000
"vagabund", 15, 1589816419.684632093, 1589820459.000000000, 39.821670156, -105.095168766, 0.4467, 1724.9238, 1703.3989, 0.6873, 0.007000, 0.000000000
"vagabund", 16, 1589816420.678705426, 1589820460.000000000, 39.821670153, -105.095168812, 0.4468, 1724.9293, 1703.4044, 0.6873, 0.003000, 0.000000000
"vagabund", 17, 1589816421.684398811, 1589820460.000000000, 39.821670137, -105.095168866, 0.4470, 1724.9340, 1703.4091, 0.6876, 0.003000, 0.000000000
"vagabund", 18, 1589816422.683019592, 1589820461.000000000, 39.821670131, -105.095168900, 0.4473, 1724.9335, 1703.4085, 0.6879, 0.002000, 0.000000000
"vagabund", 19, 1589816423.684417560, 1589820462.000000000, 39.821670127, -105.095168964, 0.4476, 1724.9421, 1703.4172, 0.6883, 0.005000, 0.000000000
"vagabund", 20, 1589816424.682925997, 1589820464.000000000, 39.821670124, -105.095169012, 0.4479, 1724.9494, 1703.4245, 0.6887, 0.005000, 0.000000000
"vagabund", 21, 1589816425.683045424, 1589820465.000000000, 39.821670115, -105.095169080, 0.4481, 1724.9584, 1703.4335, 0.6891, 0.006000, 0.000000000
"vagabund", 22, 1589816426.682859486, 1589820466.000000000, 39.821670112, -105.095169135, 0.4482, 1724.9597, 1703.4348, 0.6892, 0.016000, 0.000000000
"vagabund", 23, 1589816427.683660059, 1589820466.000000000, 39.821670106, -105.095169223, 0.4483, 1724.9878, 1703.4629, 0.6896, 0.016000, 0.000000000
"vagabund", 24, 1589816428.682530475, 1589820467.000000000, 39.821670141, -105.095169249, 0.4490, 1724.9731, 1703.4482, 0.6911, 0.018000, 0.000000000
"vagabund", 25, 1589816429.681624120, 1589820469.000000000, 39.821670178, -105.095169313, 0.4505, 1724.9793, 1703.4543, 0.6943, 0.017000, 0.000000000
"vagabund", 26, 1589816430.681930214, 1589820470.000000000, 39.821670142, -105.095169334, 0.4533, 1724.9929, 1703.4680, 0.6998, 0.015000, 0.000000000
"vagabund", 27, 1589816431.682858130, 1589820471.000000000, 39.821670613, -105.095170000, 0.4560, 1725.0391, 1703.5142, 0.7044, 0.218000, 316.130000000
"vagabund", 28, 1589816432.685808286, 1589820472.000000000, 39.821670657, -105.095174768, 0.4575, 1725.1345, 1703.6096, 0.7059, 1.065000, 268.900000000
"vagabund", 29, 1589816433.684823181, 1589820473.000000000, 39.821666700, -105.095179438, 0.4585, 1725.1242, 1703.5993, 0.7071, 1.361000, 223.420000000
"vagabund", 30, 1589816434.680730004, 1589820474.000000000, 39.821659718, -105.095184849, 0.4591, 1725.5083, 1703.9833, 0.7078, 1.931000, 213.480000000
"vagabund", 31, 1589816435.686523024, 1589820474.000000000, 39.821653355, -105.095189285, 0.4592, 1725.8824, 1704.3574, 0.7078, 1.931000, 213.480000000
